name,dist_ly,x,y,z,spect,temp,size,color,brightness,comp_val,comp_desc,stage,image,has_planets,planet_count,visible_from
Gliese GJ 3817,42.92,-36.43,-20.66,9.35,M3,3568,0.114,Red,0.0019,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (26.9 ly away), Wolf 359 System (37.8 ly away), Barnard's Star System (40.0 ly away)"
Gliese GJ 4044,42.92,2.21,-38.5,18.83,m,3100,0.092,Red,0.0007,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (35.1 ly away), Barnard's Star System (37.1 ly away), Gliese 667 System (38.1 ly away)"
Gliese Gl 425A,42.93,-39.66,6.74,-15.0,K4/K5V,4051,0.483,Orange,0.0563,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Wolf 359 System (36.2 ly away), Gliese 581 System (36.8 ly away), Proxima Centauri System (40.6 ly away)"
Gliese Gl 865,42.99,16.79,-6.24,-39.08,G2V,3659,0.154,Yellow,0.0038,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 667 System (35.1 ly away), Gliese 876 System (35.5 ly away), Tau Ceti System (38.1 ly away)"
Gliese Gl 469,43.0,-42.2,-5.36,6.3,M:,3557,0.13,Red,0.0024,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (32.2 ly away), Wolf 359 System (35.9 ly away), 55 Cancri System (38.2 ly away)"
Gliese Gl 174,43.02,13.53,37.84,15.35,K3V,4532,0.482,Orange,0.088,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Ross 128 System (34.8 ly away), Epsilon Eridani System (34.9 ly away), Tau Ceti System (37.9 ly away)"
Gliese GJ 1092,43.03,-7.29,33.53,25.97,m,3568,0.057,Red,0.0005,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"55 Cancri System (19.8 ly away), Ross 128 System (32.9 ly away), Epsilon Eridani System (39.8 ly away)"
Hipparcos 56157,43.06,-42.28,5.44,-6.06,G2V,3723,0.119,Yellow,0.0025,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Wolf 359 System (35.7 ly away), Gliese 581 System (36.1 ly away), 55 Cancri System (37.1 ly away)"
Gliese Gl 556,43.11,-20.39,-16.14,34.39,K3V,4750,0.651,Orange,0.1934,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Gliese 581 System (37.9 ly away), Barnard's Star System (40.0 ly away), Wolf 359 System (40.2 ly away)"
Gliese GJ 3612,43.14,-14.13,5.46,40.4,k-m,3720,0.122,Orange,0.0026,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"55 Cancri System (31.2 ly away), Ross 128 System (38.8 ly away), Wolf 359 System (40.2 ly away)"
Gliese Gl 525,43.18,-36.87,-18.2,13.19,G2V,3918,0.296,Yellow,0.0185,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 581 System (28.9 ly away), Wolf 359 System (37.8 ly away), Barnard's Star System (40.5 ly away)"
Gliese Gl 716,43.22,5.57,-40.51,-14.01,K1V,5103,0.689,Orange,0.2887,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Gliese 667 System (23.9 ly away), Gliese 581 System (33.2 ly away), Barnard's Star System (38.4 ly away)"
Gliese Gl 507A,43.27,-33.28,-12.04,24.89,M0,3839,0.356,Red,0.0248,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (34.4 ly away), Wolf 359 System (38.0 ly away), 55 Cancri System (39.4 ly away)"
58 Eri,43.3,12.87,39.38,-12.61,G3V,5845,0.966,Yellow,0.9772,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Epsilon Eridani System (33.6 ly away), Tau Ceti System (35.7 ly away), Ross 128 System (37.3 ly away)"
Gliese Gl 164,43.31,11.84,23.48,34.42,M3.5,3555,0.065,Red,0.0006,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (37.1 ly away), 55 Cancri System (39.3 ly away), Epsilon Eridani System (39.6 ly away)"
